country,slug,region
Albania,albania,Europe
Algeria,algeria,Africa
Argentina,argentina,South America
Armenia,armenia,Asia
Australia,australia,Oceania
Austria,austria,Europe
Azerbaijan,azerbaijan,Asia
Bahrain,bahrain,Asia
Bangladesh,bangladesh,Asia
Belgium,belgium,Europe
Bolivia,bolivia,South America
Bosnia and Herzegovina,bosnia-and-herzegovina,Europe
Brazil,brazil,South America
Bulgaria,bulgaria,Europe
Cambodia,cambodia,Asia
Canada,canada,North America
Chile,chile,South America
China,china,Asia
Colombia,colombia,South America
Croatia,croatia,Europe
Cuba,cuba,North America
Czech Republic,czech-republic,Europe
Denmark,denmark,Europe
Dominican Republic,dominican-republic,North America
Egypt,egypt,Africa
Estonia,estonia,Europe
Ethiopia,ethiopia,Africa
Finland,finland,Europe
France,france,Europe
Georgia,georgia,Asia
Germany,germany,Europe
Ghana,ghana,Africa
Greece,greece,Europe
Guyana,guyana,South America
Hong Kong,hong-kong,Asia
Hungary,hungary,Europe
Iceland,iceland,Europe
India,india,Asia
Indonesia,indonesia,Asia
Ireland,ireland,Europe
Israel,israel,Middle East
Italy,italy,Europe
Japan,japan,Asia
Jordan,jordan,Asia
Kazakhstan,kazakhstan,Asia
Kenya,kenya,Africa
Kuwait,kuwait,Asia
Laos,laos,Asia
Latvia,latvia,Europe
Lithuania,lithuania,Europe
Luxembourg,luxembourg,Europe
Malaysia,malaysia,Asia
Malta,malta,Europe
Mexico,mexico,North America
Moldova,moldova,Europe
Mongolia,mongolia,Asia
Montenegro,montenegro,Europe
Morocco,morocco,Africa
Nepal,nepal,Asia
Netherlands,netherlands,Europe
New Zealand,new-zealand,Oceania
Nigeria,nigeria,Africa
North Macedonia,north-macedonia,Europe
Norway,norway,Europe
Oman,oman,Asia
Pakistan,pakistan,Asia
Paraguay,paraguay,South America
Peru,peru,South America
Philippines,philippines,Asia
Poland,poland,Europe
Portugal,portugal,Europe
Qatar,qatar,Middle East
Romania,romania,Europe
Saudi Arabia,saudi-arabia,Middle East
Serbia,serbia,Europe
Singapore,singapore,Asia
Slovakia,slovakia,Europe
Slovenia,slovenia,Europe
South Africa,south-africa,Africa
South Korea,south-korea,Asia
Spain,spain,Europe
Sri Lanka,sri-lanka,Asia
Suriname,suriname,South America
Sweden,sweden,Europe
Switzerland,switzerland,Europe
Taiwan,taiwan,Asia
Tanzania,tanzania,Africa
Thailand,thailand,Asia
Tunisia,tunisia,Africa
Turkey,turkey,Europe
Uganda,uganda,Africa
Ukraine,ukraine,Europe
United Arab Emirates,uae,Middle East
United Kingdom,uk,Europe
United States,usa,North America
Uruguay,uruguay,South America
Uzbekistan,uzbekistan,Asia
Venezuela,venezuela,South America
Vietnam,vietnam,Asia
Zimbabwe,zimbabwe,Africa
